consulta,categoria,id_correcto,archivo,h1_top1,h1_top5,h1_tiempo_ms,h1_mejor_id,h1_mejor_score,h1_n_resultados,h2_top1,h2_top5,h2_tiempo_ms,h2_mejor_id,h2_mejor_score,h2_n_resultados,h2oc_top1,h2oc_top5,h2oc_tiempo_ms,h2oc_mejor_id,h2oc_mejor_score,h2oc_n_resultados,h2fu_top1,h2fu_top5,h2fu_tiempo_ms,h2fu_mejor_id,h2fu_mejor_score,h2fu_n_resultados
c08_exacta.jpg,exacta,AIM-P001-008,c08_exacta.jpg,SI,SI,252.6,AIM-P001-008,0.9998,5,SI,SI,1097.3,AIM-P001-008,1.06,1,-,-,-,-,-,-,SI,SI,8076.3,AIM-P001-008,1.06,1
c08_sin_marco.jpg,sin_marco,AIM-P001-008,c08_sin_marco.jpg,SI,SI,263.3,AIM-P001-008,0.9403,5,SI,SI,514.5,AIM-P001-008,1.0198,1,-,-,-,-,-,-,SI,SI,6116.1,AIM-P001-008,1.0198,1
c08_recoloreada.jpeg,recoloreada,AIM-P001-008,c08_recoloreada.jpeg,SI,SI,218.9,AIM-P001-008,0.9668,5,SI,SI,587.7,AIM-P001-008,1.0476,1,-,-,-,-,-,-,SI,SI,6214.9,AIM-P001-008,1.0476,1
c08_recortada.jpg,recortada,AIM-P001-008,c08_recortada.jpg,no,no,243.7,AIM-P186-045,0.8298,5,no,no,680.0,AIM-P186-045,0.8951,5,-,-,-,-,-,-,no,no,6588.2,AIM-P226-038,0.7918,5
c08_persona.jpeg,persona,AIM-P001-008,c08_persona.jpeg,no,no,239.3,AIM-P204-005,0.7353,5,no,no,644.5,AIM-P204-005,0.7263,5,-,-,-,-,-,-,SI,SI,7082.1,AIM-P001-008,0.7519,1
c09_exacta.jpg,exacta,AIM-P001-009,c09_exacta.jpg,SI,SI,349.1,AIM-P001-009,0.9959,5,SI,SI,1218.9,AIM-P001-009,1.0598,1,-,-,-,-,-,-,SI,SI,7889.7,AIM-P001-009,1.0598,1
c09_sin_marco.jpg,sin_marco,AIM-P001-009,c09_sin_marco.jpg,SI,SI,144.7,AIM-P001-009,0.9906,5,SI,SI,312.5,AIM-P001-009,1.0586,1,-,-,-,-,-,-,SI,SI,3931.0,AIM-P001-009,1.0586,1
c09_recoloreada.jpeg,recoloreada,AIM-P001-009,c09_recoloreada.jpeg,SI,SI,149.2,AIM-P001-009,0.8627,5,SI,SI,389.9,AIM-P001-009,0.9252,2,-,-,-,-,-,-,SI,SI,4500.3,AIM-P001-009,0.9252,2
c09_recortada.jpg,recortada,AIM-P001-009,c09_recortada.jpg,SI,SI,129.4,AIM-P001-009,0.878,5,SI,SI,344.6,AIM-P001-009,0.9151,2,-,-,-,-,-,-,SI,SI,7802.8,AIM-P001-009,0.9151,1
c09_persona.jpeg,persona,AIM-P001-009,c09_persona.jpeg,no,no,229.7,AIM-P067-030,0.7198,5,no,no,701.0,AIM-P067-030,0.7273,5,-,-,-,-,-,-,SI,SI,6249.8,AIM-P001-009,0.7383,3
c10_exacta.jpg,exacta,AIM-P001-010,c10_exacta.jpg,SI,SI,191.5,AIM-P001-010,0.9984,5,SI,SI,1096.9,AIM-P001-010,1.06,1,-,-,-,-,-,-,SI,SI,6840.7,AIM-P001-010,1.06,1
c10_sin_marco.jpg,sin_marco,AIM-P001-010,c10_sin_marco.jpg,SI,SI,232.7,AIM-P001-010,0.9317,5,SI,SI,499.7,AIM-P001-010,1.0416,1,-,-,-,-,-,-,SI,SI,5505.8,AIM-P001-010,1.0416,1
c10_recoloreada.jpeg,recoloreada,AIM-P001-010,c10_recoloreada.jpeg,SI,SI,203.3,AIM-P001-010,0.9473,5,SI,SI,501.1,AIM-P001-010,1.0378,1,-,-,-,-,-,-,SI,SI,6735.2,AIM-P001-010,1.0378,1
c10_recortada.jpg,recortada,AIM-P001-010,c10_recortada.jpg,SI,SI,210.8,AIM-P001-010,0.8842,5,SI,SI,418.7,AIM-P001-010,0.9054,1,-,-,-,-,-,-,SI,SI,5302.4,AIM-P001-010,0.9054,3
c10_persona.jpeg,persona,AIM-P001-010,c10_persona.jpeg,no,no,281.1,AIM-P145-010,0.7993,5,no,no,480.1,AIM-P145-010,0.7482,4,-,-,-,-,-,-,no,SI,5563.9,AIM-P245-035,0.7546,5
